case	context	isolation	proposal	replacement_state	target	visibility	topology	terminal	long_lived_contract	ownership	worktree	cleanup_basis	discard_authority	mapping	prepared_in_worktree	expected_isolation	expected_integration	expected_terminal	expected_lineage	expected_cleanup
tiny-serial-direct	complete	none	none	not-applicable	not-applicable	not-applicable	not-applicable	integrated	not-applicable	owned	none	none	not-applicable	not-applicable	no	direct	not-applicable	integrated	not-required	none
complete-fast-forward	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	none	none	not-applicable	not-applicable	no	isolated	fast-forward	integrated	not-required	none
other-worktree-fast-forward	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	clean	none	not-applicable	not-applicable	yes	isolated	fast-forward	integrated	not-required	none
private-stale-rebase	complete	material	complete	not-applicable	advanced	private	linear	integrated	not-applicable	owned	none	none	not-applicable	not-applicable	no	isolated	rebase-verify-fast-forward	integrated	not-required	none
shared-stale-rebase-refused	complete	material	complete	not-applicable	advanced	shared	linear	pending	not-applicable	owned	none	none	not-applicable	not-applicable	no	isolated	refuse-shared-rebase	pending	not-required	none
concurrent-proposals	complete	material	concurrent	not-applicable	advanced	private	linear	pending	not-applicable	owned	clean	none	not-applicable	not-applicable	yes	isolated	serial-integration	pending	not-required	none
durable-topology	complete	material	complete	not-applicable	independent	shared	durable	integrated	not-applicable	owned	none	none	not-applicable	not-applicable	no	isolated	merge	integrated	not-required	none
selective-cherry-pick-selection	complete	material	selective	not-created	advanced	private	linear	pending	not-applicable	owned	none	none	not-applicable	not-applicable	yes	isolated	cherry-pick	pending	not-required	none
selective-missing-mapping	complete	material	selective	created	advanced	private	linear	integrated	not-applicable	owned	none	none	not-applicable	missing	yes	isolated	not-applicable	typed-unavailable	mapping-required	refuse-cleanup
selective-recorded-mapping	complete	material	selective	created	advanced	private	linear	integrated	not-applicable	owned	none	none	not-applicable	complete	yes	isolated	not-applicable	integrated	record-source-to-accepted	none
missing-branch-context	missing	material	complete	not-applicable	current-descendant	private	linear	pending	not-applicable	owned	none	none	not-applicable	not-applicable	no	typed-unavailable	typed-unavailable	typed-unavailable	typed-unavailable	typed-unavailable
contradictory-branch-context	contradictory	material	complete	not-applicable	current-descendant	private	linear	pending	not-applicable	owned	none	none	not-applicable	not-applicable	no	typed-invalid	typed-invalid	typed-invalid	typed-invalid	typed-invalid
rejected-proposal	complete	material	none	not-applicable	not-applicable	private	linear	rejected	not-applicable	owned	none	none	not-applicable	not-applicable	no	isolated	not-applicable	rejected	not-required	none
abandoned-proposal	complete	material	none	not-applicable	not-applicable	private	linear	abandoned	not-applicable	owned	none	none	not-applicable	not-applicable	no	isolated	not-applicable	abandoned	not-required	none
superseded-proposal	complete	material	none	not-applicable	not-applicable	private	linear	superseded	not-applicable	owned	none	none	not-applicable	not-applicable	no	isolated	not-applicable	superseded	not-required	none
retained-release-branch	complete	material	none	not-applicable	not-applicable	long-lived	durable	retained	complete	owned	clean	none	not-applicable	not-applicable	no	isolated	not-applicable	retained	not-required	none
incomplete-long-lived-contract	complete	material	none	not-applicable	not-applicable	long-lived	durable	retained	incomplete	owned	clean	terminal	not-applicable	not-applicable	no	isolated	not-applicable	typed-unavailable	not-required	refuse-cleanup
completed-clean-worktree	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	clean	terminal	not-applicable	not-applicable	yes	isolated	fast-forward	integrated	not-required	remove-clean-worktree
stale-registration	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	stale-registration	terminal	not-applicable	not-applicable	no	isolated	fast-forward	integrated	not-required	prune-stale-registration
dirty-worktree	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	dirty	terminal	not-applicable	not-applicable	yes	isolated	fast-forward	integrated	not-required	retain-protected-worktree
unique-worktree	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	unique	terminal	missing	not-applicable	yes	isolated	fast-forward	integrated	not-required	retain-protected-worktree
rejected-unique-explicit-discard	complete	material	none	not-applicable	not-applicable	private	linear	rejected	not-applicable	owned	unique	terminal	explicit	not-applicable	yes	isolated	not-applicable	rejected	not-required	discard-authorized
locked-worktree	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	locked	terminal	not-applicable	not-applicable	yes	isolated	fast-forward	integrated	not-required	retain-protected-worktree
unknown-branch	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	unknown	none	terminal	not-applicable	not-applicable	no	isolated	fast-forward	integrated	not-required	refuse-cleanup
age-only-cleanup	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	none	age	not-applicable	not-applicable	no	isolated	fast-forward	integrated	not-required	refuse-cleanup
count-only-cleanup	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	none	count	not-applicable	not-applicable	no	isolated	fast-forward	integrated	not-required	refuse-cleanup
force-cleanup	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	clean	force	not-applicable	not-applicable	yes	isolated	fast-forward	integrated	not-required	refuse-cleanup
redundant-evidence-branch	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	none	evidence-only	not-applicable	complete	no	isolated	fast-forward	integrated	not-required	retire-redundant-ref
patch-equivalent-unmapped	complete	material	selective	created	current-descendant	private	linear	integrated	not-applicable	owned	none	evidence-only	not-applicable	missing	no	isolated	not-applicable	typed-unavailable	mapping-required	refuse-cleanup
