baseline_order	child_order	ids	source	owner	owner_state	activation	checkpoint	rationale
2	1	STD-0474,STD-0475,STD-0477,STD-0481	INTEROP-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	cross-language evolution wire-schema authority and coordinated or independent consumer evidence
2	2	STD-0476	INTEROP-STANDARDS.md	profiles/boundaries/ipc.md	exists	pre-slice-review	focused	received structured messages require complete consumer-side IPC decoding before dispatch
2	3	STD-0478,STD-0479,STD-0480	INTEROP-STANDARDS.md	profiles/boundaries/language-bindings.md	exists	pre-slice-review	focused	tagged enum variant and field representation belong to the selected serialized binding mechanism
2	4	STD-0482	INTEROP-STANDARDS.md	INTEROP-STANDARDS.md	exists	pre-slice-review	focused	legacy applicability becomes a non-normative canonical boundary-routing index
3	1	STD-0776,STD-0777	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused	host error representation mapping and diagnostic preservation form one independently verifiable binding outcome
3	2	STD-0778,STD-0779	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused	host event delivery adaptation consumes Interop callback authority and Concurrency capacity and lifecycle contracts
3	3	STD-0780	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused	host callback task adaptation consumes Rust Async and Concurrency work ownership without executor fallback
5	1	STD-0804	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused	Rust core and adapter testability remains framework-independent while adapter and real host evidence stay distinct
5	2	STD-0805,STD-0806	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/boundaries/language-bindings.md	exists	pre-slice-review	focused	boundary mechanism selection follows host process deployment representation lifecycle isolation and support facts
5	3	STD-0807,STD-0808	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	binding compatibility and evolution follow contract classes deployment facts generated consistency and consumer evidence
5	4	STD-0809	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused	Rust adapts only a contract-selected discovery or negotiation mechanism with typed outcomes and native host evidence
6	1	STD-0294,STD-0295	CROSS-PLATFORM-STANDARDS.md	topics/cross-platform.md	exists	pre-slice-review	focused	native artifact loading follows declared target artifact deployment capability and consumer contracts with typed outcomes
6	2	STD-0296,STD-0297	CROSS-PLATFORM-STANDARDS.md	workflows/release.md	exists	pre-slice-review	focused	native artifact identity and installation information follow release unit channel target package and consumer contracts
6	3	STD-0298,STD-0299	CROSS-PLATFORM-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	platform evidence environments execution modes and schedules follow accepted support and release claims
7	1	STD-0761,STD-0762	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused	Rust binding package separation preserves core adapter direction and required native host evidence without fixed workspace layout or test exclusion
7	2	STD-0763,STD-0764,STD-0765,STD-0766	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	workflows/release.md	exists	pre-slice-review	focused	binding artifact identities relationships composition and consumer information follow the selected release artifact plan
7	3	STD-0767	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	each native generated host ABI wire and persisted artifact follows its applicable compatibility contract independently
7	4	STD-0768,STD-0769,STD-0770,STD-0771	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/boundaries/language-bindings.md	exists	pre-slice-review	focused	exported binding surface support promises language subsets and evidence follow declared consumer and product contracts
8	1	STD-0782,STD-0783	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	canonical generation authority and deterministic derived outputs follow applicable artifact contracts
8	2	STD-0784	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused	Rust annotation placement follows the core-adapter boundary and selected binding mechanism without framework preference
8	3	STD-0785,STD-0786,STD-0787,STD-0788	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	workflows/release.md	exists	pre-slice-review	focused	binding build and generation procedures follow the selected release artifact plan and toolchain facts without fixed commands
8	4	STD-0789	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	exists	pre-slice-review	focused	legacy build-organization heading becomes a non-normative routing index while remaining child configuration identifiers retain separate ownership
13	1	STD-0273	CONCURRENCY-STANDARDS.md	profiles/languages/csharp/async.md	exists	pre-slice-review	focused	C sharp await-context behavior specializes the generic nonblocking lifecycle contract without making ConfigureAwait a universal mechanism
13	2	STD-0274	CONCURRENCY-STANDARDS.md	CONCURRENCY-STANDARDS.md	exists	pre-slice-review	focused	the Rust cross-reference becomes a non-normative route to the canonical Rust Async and Rust Security profiles
13	3	STD-0275,STD-0276	CONCURRENCY-STANDARDS.md	profiles/languages/typescript/async.md	missing	owner-review	focused	TypeScript stale-result suppression specializes current-invocation ownership and typed terminal outcomes without request-counter or silent-discard defaults
13	4	STD-0277,STD-0278,STD-0279	CONCURRENCY-STANDARDS.md	profiles/frameworks/godot.md	missing	owner-review	focused	Godot main-thread dispatch and object-lifetime proof specialize concurrency ownership without deferred-call or validity-check-only defaults
